006880,20171211,S,G,500,11828858,1478607250000,0,NON,0.0,0.47,1.38
183190,20171211,S,G,5000,3295809,63609113700,0,NON,9.96,0.62,1.2
064350,20171211,S,G,5000,85000000,1487500000000,0,NON,75.1,1.18,0.0
180640,20171211,S,G,2500,59170458,3875664999000,0,NON,0.0,1.04,0.41
181710,20171211,S,G,500,19565025,116803199250,0,NON,100.61,0.86,0.0
175330,20171211,S,G,5000,155439423,359842264245,0,NON,6.5,0.41,0.84
172580,20171211,S,G,0,13044500,75658100000,0,NON,0.0,0.0,0.0
155660,20171211,S,G,500,16000000,38480000000,0,NON,8.63,0.7,0.86
168490,20171211,S,G,0,80020000,7521880000000,0,NON,0.0,0.0,0.0
170900,20171211,S,G,5000,8443868,66368802480,0,NON,74.13,1.35,0.53
013870,20171211,S,G,500,19072280,131980177600,0,NON,7.68,0.68,1.91
037560,20171211,S,G,2500,77446865,676885600100,0,NON,24.89,0.55,1.08
163560,20171211,S,G,500,12640000,1087040000000,0,NON,6.16,0.62,0.89
161890,20171211,S,G,500,21104461,1133309555700,0,NON,34.18,6.72,0.29
161390,20171211,S,G,500,123875069,2037744885050,0,NON,7.62,1.12,0.75
161000,20171211,S,G,500,32040000,37486800000,0,NON,9.8,2.05,1.82
159650,20171211,S,G,0,14905929,298863876450,0,NON,0.0,0.0,0.0
068400,20171211,S,G,500,22146300,64667196000,0,NON,55.39,1.9,0.0
155900,20171211,S,G,0,15200004,99256026120,0,NON,0.0,0.0,0.0
014710,20171211,S,G,1000,17218543,29443708530,0,NON,14.87,0.61,0.77
153360,20171211,S,G,0,16149790,49579855300,0,NON,0.0,0.0,0.0
144620,20171211,S,G,1000,45000000,84825000000,0,NON,55.82,0.74,0.65
152550,20171211,S,G,0,70020000,710703000000,0,NON,0.0,0.0,0.0
079980,20171211,S,G,5000,34500000,38122500000,0,NON,38.01,0.85,2.96
145270,20171211,S,G,0,42345804,1702301320800,0,NON,0.0,0.0,0.0
007070,20171211,S,G,1000,77000000,245245000000,0,NON,11.29,1.56,2.74
129260,20171211,S,G,500,29747874,2736804408000,0,NON,11.38,0.46,3.77
145990,20171211,S,G,5000,10289803,1121588527000,0,NON,10.22,0.87,1.63
039130,20171211,S,G,500,11616185,34848555000,0,NON,149.93,6.37,1.38
140890,20171211,S,G,0,9686000,197110100000,0,NON,0.0,0.0,0.0
078520,20171211,S,G,500,16890782,57935382260,0,NON,19.51,1.78,1.72
023000,20171211,S,G,500,40000000,2936000000000,0,NON,9.66,0.73,3.64
031430,20171211,S,G,5000,7140000,35200200000,0,NON,30.18,1.1,0.82
140910,20171211,S,G,0,3628735,168373304000,0,NON,0.0,0.0,0.0
047810,20171211,S,G,5000,97475107,7232652939400,0,NON,16.87,3.13,1.47
071840,20171211,S,G,5000,23607712,295096400000,0,NON,14.42,0.92,0.34
069640,20171211,S,G,500,12909322,103145482780,0,NON,31.57,1.04,1.6
138490,20171211,S,G,1000,38000000,9823000000000,0,NON,15.19,1.74,1.25
139480,20171211,S,G,5000,27875819,284333353800,0,NON,19.15,0.94,0.58
139130,20171211,S,G,5000,169145833,2249639578900,0,NON,5.99,0.47,2.94
053210,20171211,S,G,2500,47821966,1049692153700,0,NON,9.22,1.17,3.12
019440,20171211,S,G,5000,8570000,137977000000,0,NON,7.83,0.63,3.42
138040,20171211,S,G,500,142885818,803018297160,0,NON,8.95,1.29,1.86
023350,20171211,S,G,500,10950000,102273000000,0,NON,20.07,0.5,1.78
138930,20171211,S,G,5000,325935246,12043307339700,0,NON,6.14,0.45,2.46
020150,20171211,S,G,500,46000000,2856600000000,0,NON,38.05,5.23,0.13
011210,20171211,S,G,5000,27195083,399767720100,0,NON,12.62,0.51,1.77
136490,20171211,S,G,500,23779604,1471957487600,0,NON,8.31,1.41,0.31
134380,20171211,S,G,1000,2180000,44363000000,0,NON,10.3,1.55,1.62
134790,20171211,S,G,500,2000000,9440000000,0,NON,254.38,1.58,0.98
082740,20171211,S,G,1000,69500000,430900000000,0,NON,0.0,0.61,0.0
117580,20171211,S,G,1000,27500000,105600000000,0,NON,12.2,0.58,4.03
126560,20171211,S,G,500,112876596,345966766740,0,NON,9.32,0.69,1.04
058860,20171211,S,G,500,34802000,152084740000,0,NON,10.39,0.66,2.61
130660,20171211,S,G,500,32600000,150938000000,0,NON,10.79,2.18,4.99
